dataset,classifier,meta_model,predicted_resampling,actual_best_resampling,baseline_macro_f1,selected_macro_f1,oracle_best_macro_f1,selected_improvement_vs_baseline,oracle_improvement_vs_baseline,gap_to_oracle,regret,top1_correct,top3_correct
pima,logistic_regression,gradient_boosting,ros,none,0.737580065691888,0.7257538594719376,0.737580065691888,-0.011826206219950453,0.0,0.011826206219950453,0.0118262062199504,False,False
segment0,logistic_regression,gradient_boosting,none,none,0.9946556506999986,0.9946556506999986,0.9946556506999986,0.0,0.0,0.0,0.0,True,True
shuttle-c0-vs-c4,logistic_regression,gradient_boosting,none,none|ros|rus|smote|smote_tomek|smote_enn,0.9978126849919576,0.9978126849919576,0.9978126849919576,0.0,0.0,0.0,0.0,True,True
vehicle2,logistic_regression,gradient_boosting,none,ros,0.942049967139062,0.942049967139062,0.9518336381687104,0.0,0.009783671029648389,0.009783671029648389,0.0097836710296483,False,True
vowel0,logistic_regression,gradient_boosting,ros,none,0.8552891556541312,0.7947376782724529,0.8552891556541312,-0.06055147738167832,0.0,0.06055147738167832,0.0605514773816783,False,False
wisconsin,logistic_regression,gradient_boosting,ros,smote_enn,0.9677556415824756,0.9647349843224874,0.9680602319491208,-0.0030206572599882353,0.00030459036664520767,0.003325247626633443,0.0033252476266334,False,True
yeast1,logistic_regression,gradient_boosting,ros,rus,0.6456136985304575,0.6740783826066028,0.6832967627521116,0.02846468407614533,0.03768306422165413,0.009218380145508798,0.0092183801455087,False,False
ecoli-0_vs_1,decision_tree,gradient_boosting,none,smote_enn,0.9702058504875406,0.9702058504875406,0.9899488304093568,0.0,0.019742979921816173,0.019742979921816173,0.0197429799218161,False,True
glass1,decision_tree,gradient_boosting,smote_enn,none,0.7609506833036244,0.6935513673318552,0.7609506833036244,-0.06739931597176918,0.0,0.06739931597176918,0.0673993159717691,False,True
haberman,decision_tree,gradient_boosting,smote_enn,smote_enn,0.5658193101802125,0.6397058823529411,0.6397058823529411,0.07388657217272865,0.07388657217272865,0.0,0.0,True,True
iris0,decision_tree,gradient_boosting,smote_enn,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
page-blocks0,decision_tree,gradient_boosting,adasyn,none,0.9124443797226672,0.897287077342479,0.9124443797226672,-0.015157302380188198,0.0,0.015157302380188198,0.0151573023801881,False,True
pima,decision_tree,gradient_boosting,none,smote_enn,0.6715751896474788,0.6715751896474788,0.7012961643040045,0.0,0.02972097465652579,0.02972097465652579,0.0297209746565257,False,False
segment0,decision_tree,gradient_boosting,none,adasyn,0.9849535772068706,0.9849535772068706,0.989338507021434,0.0,0.004384929814563399,0.004384929814563399,0.0043849298145633,False,True
shuttle-c0-vs-c4,decision_tree,gradient_boosting,none,none|ros|rus|smote|smote_tomek|smote_enn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True
vehicle2,decision_tree,gradient_boosting,smote_enn,none,0.9507111489807956,0.9317872737665,0.9507111489807956,-0.018923875214295616,0.0,0.018923875214295616,0.0189238752142956,False,True
vowel0,decision_tree,gradient_boosting,none,adasyn,0.8512122885397319,0.8512122885397319,0.8828029071650012,0.0,0.03159061862526935,0.03159061862526935,0.0315906186252693,False,True
wisconsin,decision_tree,gradient_boosting,smote_enn,none,0.953291215956496,0.9469512065958534,0.953291215956496,-0.006340009360642607,0.0,0.006340009360642607,0.0063400093606426,False,True
yeast1,decision_tree,gradient_boosting,smote_enn,none,0.6783822319268029,0.6692266519486466,0.6783822319268029,-0.009155579978156303,0.0,0.009155579978156303,0.0091555799781563,False,True
