dataset,classifier,meta_model,predicted_resampling,actual_best_resampling,regret,top1_correct,top3_correct,full_evaluation_time_seconds,selected_strategy_time_seconds,savings_seconds,savings_percent
iris0,random_forest,gradient_boosting,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,23.793170899999996,4.362116699999998,19.4310542,81.66651801757118
page-blocks0,random_forest,gradient_boosting,ros,none,0.0008702984041073,False,False,38.514595,4.652307900000004,33.862287099999996,87.92066254364092
pima,random_forest,gradient_boosting,adasyn,smote_enn,0.001867855983061,False,False,29.841652900000007,4.380230300000001,25.461422600000006,85.3217570934216
segment0,random_forest,gradient_boosting,none,adasyn,0.0018084850967962,False,False,33.744479600000005,3.2022751000000014,30.542204500000004,90.51022526363097
shuttle-c0-vs-c4,random_forest,gradient_boosting,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,23.252858400000004,3.1392646999999982,20.113593700000006,86.49944602079546
vehicle2,random_forest,gradient_boosting,none,none,0.0,True,True,26.958349599999995,3.948806399999999,23.009543199999996,85.35219529907721
vowel0,random_forest,gradient_boosting,adasyn,none,0.0507342377684669,False,False,18.800692899999998,2.7080026000000004,16.092690299999997,85.59626172075816
wisconsin,random_forest,gradient_boosting,none,smote_tomek,0.0064946800711743,False,False,30.321272399999998,3.4410302999999995,26.880242099999997,88.6514317255367
yeast1,random_forest,gradient_boosting,adasyn,smote_tomek,0.0122441020220618,False,True,29.201667399999995,3.5675926999999987,25.634074699999996,87.78291440988059
ecoli-0_vs_1,xgboost,gradient_boosting,adasyn,smote_enn,0.0148497924919828,False,False,7.87697159999999,1.0988431999999977,6.778128399999993,86.04992812212248
glass1,xgboost,gradient_boosting,adasyn,ros,0.0081573112895297,False,True,9.6801854,1.4006162000000018,8.279569199999997,85.5311015014237
haberman,xgboost,gradient_boosting,ros,smote_enn,0.082013642164018,False,False,8.419521400000008,1.4859182000000004,6.933603200000007,82.35151228429683
iris0,xgboost,gradient_boosting,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,6.3298311,0.983847400000002,5.345983699999998,84.45697231952994
page-blocks0,xgboost,gradient_boosting,adasyn,none,0.01798818029755,False,False,34.46027029999999,5.967174700000001,28.49309559999999,82.68390048002613
pima,xgboost,gradient_boosting,adasyn,none,0.0056860041966825,False,False,10.513094800000012,1.719032299999995,8.794062500000017,83.64865595999387
segment0,xgboost,gradient_boosting,none,none,0.0,True,True,22.42828750000003,2.632413900000003,19.79587360000003,88.26297415707731
shuttle-c0-vs-c4,xgboost,gradient_boosting,none,none|ros|smote|smote_tomek|smote_enn,0.0,True,True,12.330556800000004,1.7991220999999982,10.531434700000005,85.4092387782521
vehicle2,xgboost,gradient_boosting,none,ros,0.0047246472903151,False,True,11.9388395,1.7943633999999946,10.144476100000006,84.97037002633301
vowel0,xgboost,gradient_boosting,ros,none,0.0069138923137219,False,True,12.33758919999999,1.538400099999997,10.799189099999992,87.53078842988225
wisconsin,xgboost,gradient_boosting,ros,smote_enn,0.0064719006881309,False,False,9.512048,1.2657211000000004,8.2463269,86.69349544913987
yeast1,xgboost,gradient_boosting,ros,smote_tomek,0.0011260622427152,False,False,11.614015199999997,1.3932509999999994,10.220764199999998,88.00370951813461
ecoli-0_vs_1,logistic_regression,xgboost,smote_enn,smote_tomek,0.0200405365398191,False,True,1.0172460999999973,0.2055846999999993,0.811661399999998,79.79007243183337
glass1,logistic_regression,xgboost,none,smote_enn,0.1087160768708829,False,False,1.0580544999999988,0.1123254,0.9457290999999988,89.38377937998466
haberman,logistic_regression,xgboost,smote,smote_enn,0.0171839979701443,False,False,0.8455914999999994,0.1387938999999995,0.7067975999999999,83.5861760672855
iris0,logistic_regression,xgboost,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,1.3112554,0.2810267000000017,1.0302286999999983,78.56811876618379
page-blocks0,logistic_regression,xgboost,rus,none,0.031191855659548,False,False,9.3963722,0.239505900000001,9.156866299999999,97.45108117364698
pima,logistic_regression,xgboost,rus,none,0.0158888575630667,False,False,1.3584931999999998,0.1479898999999997,1.2105033,89.10632014941261
